BEVOEGD GEZAG NUMMER;INSTELLING;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO
42510;20EM;20EM04;H.N. Werkman VMBO;GRONINGEN;14;GRONINGEN;Groningen;314;0
42510;20ER;20ER00;Zernike College;GRONINGEN;14;GRONINGEN;Groningen;1074;16
42510;20ER;20ER04;Zernike College;HAREN GN;14;GRONINGEN;Groningen;1487;20
42510;20ER;20ER08;Zernike College;GRONINGEN;14;GRONINGEN;Groningen;140;0
42510;20ER;20ER09;Zernike College;GRONINGEN;14;GRONINGEN;Groningen;408;0
42529;13JO;13JO00;Rsgm Noord Oost Veluwe;EPE;232;EPE;Gelderland;887;7
42530;19XY;19XY00;Amstelveen College;AMSTELVEEN;362;AMSTELVEEN;Noord-Holland;1672;28
42534;25GM;25GM00;dr Aletta Jacobs College;HOOGEZAND;1952;MIDDEN-GRONINGEN;Groningen;974;<5
42534;25GM;25GM02;dr Aletta Jacobs College;HOOGEZAND;1952;MIDDEN-GRONINGEN;Groningen;94;0
42534;25GM;25GM04;dr Aletta Jacobs College;HOOGEZAND;1952;MIDDEN-GRONINGEN;Groningen;248;0
42544;02JG;02JG00;Emelwerda College;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;828;9
42544;02JG;02JG04;Emelwerda College;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;177;0
42544;02JG;02JG05;Emelwerda College;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;177;0
42544;02JG;02JG06;Emelwerda College;URK;184;URK;Flevoland;20;0
42549;19KZ;19KZ00;Pallas Athene College;EDE GLD;228;EDE;Gelderland;962;19
42555;14WL;14WL00;Krimpenerwaard College;KRIMPEN AAN DEN IJSSEL;542;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;862;7
42556;00WH;00WH00;Gomarusschool s.g.;GORINCHEM;512;GORINCHEM;Zuid-Holland;1286;<5
42556;00WH;00WH02;Gomarusschool s.g.;ZALTBOMMEL;297;ZALTBOMMEL;Gelderland;546;0
42571;00LJ;00LJ00;Chr Coll Schaersvoorde;AALTEN;197;AALTEN;Gelderland;1019;7
42571;00LJ;00LJ01;Chr Coll Schaersvoorde;DINXPERLO;197;AALTEN;Gelderland;68;0
